RENDICION DE BSP																								
JAZZ																								
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
COMPAÑIA	AA																							
FILE	Nº TICKET	FECHA	TARIFA	OFFLINE	CASH	TARJETA	IMPUESTOS	Resols.	(IVA)	COMISION	SUBTOTAL	NETO	%	OVER	A PAGAR	TOUR CODE	NRO TARJETA	OC						
65661     PES	1403-428515-6	2/1/2025	     174594.00		     219608.00		    45014.00		    19157.32		     219608.00				     219608.00									
65661     PES	1403-428516-0	2/1/2025	     174594.00		     219608.00		    45014.00		    19157.32		     219608.00				     219608.00									
65671     USD	1403-428519-3	3/1/2025																						
65671     USD	1403-428520-4	3/1/2025																						
65688     PES	1403-428525-2	3/1/2025	     816021.00		     964016.35		   147995.35		    89537.90		     964016.35				     964016.35									
65700     PES	1403-428526-3	3/1/2025	     213950.00		     261371.20		    47421.20		    23475.67		     261371.20				     261371.20									
65715     USD	1403-428527-4	4/1/2025	        317.00		        424.80		      107.80				        424.80		  5.00	       15.85	        408.95	NRZT/BUE74								
65715     USD	1403-428528-5	4/1/2025	        317.00		        424.80		      107.80				        424.80		  5.00	       15.85	        408.95	NRZT/BUE74								
65715     USD	1403-428529-6	4/1/2025	        317.00		        424.80		      107.80				        424.80		  5.00	       15.85	        408.95	NRZT/BUE74								
65715     USD	1403-428530-0	4/1/2025	        317.00		        424.80		      107.80				        424.80		  5.00	       15.85	        408.95	NRZT/BUE74								
65715     USD	1403-428531-1	4/1/2025	        317.00		        424.80		      107.80				        424.80		  5.00	       15.85	        408.95	NRZT/BUE74								
65715     USD	1403-428532-2	4/1/2025	        317.00		        424.80		      107.80				        424.80		  5.00	       15.85	        408.95	NRZT/BUE74								
65715     USD	1403-428533-3	4/1/2025	        317.00		        424.80		      107.80				        424.80		  5.00	       15.85	        408.95	NRZT/BUE74								
65702     USD	1403-428534-4	4/1/2025	        878.00		       1093.99		      215.99				       1093.99				       1093.99									
65702     USD	1403-428535-5	4/1/2025	        878.00		       1093.99		      215.99				       1093.99				       1093.99									
65710     PES	1403-428538-1	6/1/2025	      36672.00		      54322.20		    17650.20				      54322.20				      54322.20									
65719     PES	1403-428539-2	6/1/2025	     264349.00		     283403.55		    19054.55				     283403.55				     283403.55									
65718     PES	1403-428540-3	6/1/2025			      16000.00		    16000.00				      16000.00				      16000.00									
65718     PES	1403-428541-4	6/1/2025			      16000.00		    16000.00				      16000.00				      16000.00									
65724     PES	1403-428576-4	6/1/2025	      61437.00		      78101.75		    16664.75		     6741.18		      78101.75				      78101.75									
65735     PES	1403-428595-2	6/1/2025	     100202.00		     139705.80		    39503.80		    10994.67		     139705.80				     139705.80		CA+							
65735     PES	1403-428596-3	6/1/2025	     100202.00		     139705.80		    39503.80		    10994.67		     139705.80				     139705.80		CA+							
65755     PES	1403-428640-5	7/1/2025	     389089.00		     477436.62		    88347.62		    42692.79		     477436.62				     477436.62									
65755     PES	1403-428642-0	7/1/2025	     389089.00		     477436.62		    88347.62		    42692.79		     477436.62				     477436.62									
65774     PES	1403-428644-2	7/1/2025	     771679.00		     880640.77		   108961.77		    41727.10		     880640.77				     880640.77									
65774     PES	1403-428646-4	7/1/2025	     771679.00		     880640.77		   108961.77		    41727.10		     880640.77				     880640.77									
65764     PES	1403-428648-6	7/1/2025	     674351.00		     814254.77		   139903.77		    73993.16		     814254.77				     814254.77									
65764     PES	1403-428650-1	7/1/2025	     674351.00		     814254.77		   139903.77		    73993.16		     814254.77				     814254.77									
65764     PES	1403-428652-3	7/1/2025	     674351.00		     814254.77		   139903.77		    73993.16		     814254.77				     814254.77									
65764     PES	1403-428654-5	7/1/2025	     674351.00		     814254.77		   139903.77		    73993.16		     814254.77				     814254.77									
65764     PES	1403-428656-0	7/1/2025	     674351.00		     814254.77		   139903.77		    73993.16		     814254.77				     814254.77									
65762     PES	1403-428658-2	7/1/2025	     476500.00		     564544.20		    88044.20		    52283.96		     564544.20				     564544.20									
65762     PES	1403-428659-3	7/1/2025	     476500.00		     564544.20		    88044.20		    52283.96		     564544.20				     564544.20									
65772     PES	1403-428660-4	7/1/2025														NRZT/BUE74	CA+							
65778     USD	1403-428661-5	7/1/2025	        230.00		        337.30		      107.30				        337.30				        337.30									
																								
